,over 400us,over 1ms,over 1.5ms,over 2ms
5,1.807029,0.023568,0.014905,0.010418
10,1.797943,0.026668,0.01752,0.012304
15,1.808291,0.026946,0.017943,0.011964
20,0.808799,0.026245,0.017173,0.01125
25,0.814604,0.028236,0.01899,0.012318
30,0.81278,0.030254,0.020717,0.013788
35,0.810595,0.027528,0.017991,0.011805
40,0.815333,0.029103,0.019628,0.012894
45,0.823621,0.033438,0.023568,0.015578
50,0.816914,0.031655,0.022354,0.01494
55,0.822331,0.033112,0.02345,0.015834
60,0.817164,0.032675,0.022763,0.015155
65,0.824613,0.034832,0.024997,0.016708
70,0.819092,0.035393,0.025239,0.016833
75,0.820215,0.03479,0.024851,0.016563
80,0.822768,0.036344,0.026051,0.017596
85,0.821034,0.034873,0.025288,0.016965
90,0.820937,0.031551,0.021085,0.013844
95,0.818315,0.032252,0.021133,0.013976
100,0.816158,0.032016,0.021126,0.014156
105,0.840967,0.034859,0.024601,0.016438
110,0.847681,0.042856,0.032016,0.022451
115,0.846613,0.040907,0.030316,0.020599
120,0.843097,0.040242,0.03015,0.020045
125,0.850296,0.044438,0.033354,0.023755
130,0.847501,0.044202,0.033444,0.02327
135,0.844123,0.041795,0.031676,0.021425
140,0.84868,0.040998,0.030053,0.021009
145,0.83974,0.042114,0.030955,0.021487
150,0.852529,0.044084,0.032945,0.022347
155,0.839899,0.038764,0.027702,0.018796
160,0.844983,0.038771,0.027202,0.018602
165,0.828774,0.043349,0.031815,0.02155
170,0.825292,0.040498,0.028472,0.019226
175,0.831001,0.041608,0.029422,0.019781
180,0.841779,0.048669,0.036573,0.025545
185,0.831216,0.048114,0.03617,0.024754
190,0.824696,0.047406,0.035005,0.023616
195,0.835342,0.047524,0.035047,0.023977
200,0.832568,0.047226,0.034735,0.023485
205,0.832568,0.043501,0.031072,0.02157
210,0.83922,0.047691,0.033486,0.023221
215,0.848368,0.061222,0.044861,0.030538
220,0.8456,0.055535,0.038799,0.026328
225,0.835065,0.044334,0.031267,0.022042
230,0.850331,0.061867,0.04475,0.030698
235,0.828934,0.04758,0.033625,0.023062
240,0.835051,0.048398,0.035033,0.023658
245,0.829371,0.053461,0.040311,0.027466
250,0.844352,0.054335,0.042426,0.029318
255,0.839871,0.054543,0.041858,0.029297
260,0.846703,0.054453,0.043127,0.029782
265,0.843492,0.055105,0.04303,0.029748
270,0.837375,0.058462,0.045721,0.031662
275,0.843506,0.056985,0.044785,0.031045
280,0.842875,0.059475,0.045991,0.032328
285,0.834475,0.05867,0.04604,0.031759
290,0.84542,0.058011,0.045631,0.032057
295,0.834586,0.055743,0.041719,0.02868
300,0.841279,0.053954,0.039291,0.027181
305,0.845254,0.05763,0.043162,0.029547
310,0.850227,0.059135,0.04536,0.031662
315,0.840302,0.059461,0.047913,0.03307
320,0.847418,0.062235,0.050077,0.034624
325,0.846585,0.061833,0.049889,0.03411
330,0.843221,0.06116,0.049223,0.034076
335,0.841349,0.062069,0.049314,0.034832
340,0.848888,0.062402,0.050243,0.034547
345,0.857801,0.065238,0.052254,0.036919
350,0.849159,0.064864,0.051797,0.036073
355,0.853743,0.0682,0.053919,0.037994
360,0.85504,0.069226,0.054065,0.037863
365,0.852044,0.070336,0.055126,0.039687
370,0.851655,0.067548,0.054287,0.038515
375,0.856843,0.068137,0.054848,0.038605
380,0.855394,0.067853,0.056,0.038591
385,0.853833,0.07053,0.057186,0.040581
390,0.860908,0.073964,0.058504,0.041927
395,0.855193,0.068831,0.051748,0.035581
400,0.854451,0.069864,0.052386,0.037183
405,0.861255,0.070371,0.052213,0.036399
410,0.871346,0.086642,0.066681,0.046401
415,0.87272,0.080774,0.05926,0.042565
420,0.859833,0.076918,0.060286,0.042849
425,0.867649,0.081503,0.064607,0.046636
430,0.866991,0.081017,0.064676,0.046567
435,0.86783,0.081544,0.064794,0.046602
440,0.870542,0.079998,0.0639,0.046179
445,0.85925,0.076467,0.058164,0.040991
450,0.869716,0.083847,0.066667,0.048155
455,0.871152,0.084513,0.066986,0.048252
460,0.871395,0.077785,0.058739,0.042045
465,0.869168,0.086497,0.069629,0.050729
470,0.866831,0.085477,0.068255,0.048454
475,0.876007,0.087426,0.069129,0.049827
480,0.878899,0.089312,0.071633,0.051859
485,0.879863,0.087932,0.06906,0.049133
490,0.87256,0.088161,0.068658,0.04905
495,0.872657,0.088889,0.071716,0.05231
500,0.868079,0.088945,0.071571,0.051811
505,0.87023,0.09122,0.073069,0.053329
510,0.871783,0.091594,0.073762,0.053974
515,0.880973,0.092531,0.074283,0.054065
520,0.879544,0.090498,0.073714,0.054176
525,0.872615,0.092746,0.075586,0.055833
530,0.870944,0.092239,0.073776,0.053739
535,0.880488,0.095562,0.076773,0.056236
540,0.884164,0.096297,0.077397,0.057103
545,0.880106,0.093953,0.074858,0.054495
