,0,100,200,300,400,500
0,0,0,0,0,0,0
2,0,0,0,0,0,0
4,0,0,0,0,0,0
6,0,0,0,0,0,0
8,0,0,0,0,0,0
10,0,0,0,0,0,0
12,0,0,0,0,0,0
14,0,0,0,0,0,0
16,0,0,0,0,0,0
18,0,0,0,0,0,0
20,0,0,0,0,0,0
22,0,0,0,0,0,0
24,0,0,0,0,0,0
26,0,0,0,0,0,0
28,0,0,0,0,0,0
30,0,0,0,0,0,0
32,0,0,0,0,0,0
34,0,0,0,0,0,0
36,0,0,0,0,0,0
38,0,0,0,0,0.000028,0
40,0.000555,0.000749,0.000555,0.000402,0.000444,0.000416
42,0.00197,0.00104,0.0024,0.001276,0.001262,0.001151
44,0.025649,0.021765,0.022528,0.017187,0.040061,0.030129
46,2.701416,3.830899,3.730386,3.135889,2.94607,2.505035
48,5.19559,5.739094,5.752342,5.716386,5.029477,4.768274
50,2.000427,1.003654,0.999284,1.256117,1.098064,1.11539
52,0.616164,0.145902,0.144307,0.224901,0.290444,0.24575
54,0.192025,0.030559,0.030379,0.058608,0.118727,0.090457
56,0.11433,0.158678,0.171578,0.236927,0.088889,0.113081
58,0.097337,0.194563,0.25281,0.345182,0.09208,0.13425
60,0.045097,0.035165,0.046331,0.069095,0.041934,0.057179
62,0.025205,0.009363,0.013705,0.023207,0.021598,0.030837
64,0.022555,0.005077,0.006131,0.013497,0.082689,0.123763
66,0.055764,0.008448,0.012207,0.043959,0.5044,0.71941
68,0.048995,0.004148,0.005341,0.024456,0.40193,0.545169
70,0.025302,0.001789,0.00215,0.014551,0.295618,0.385118
72,0.008046,0.000499,0.000486,0.002303,0.046761,0.064448
74,0.004051,0.000166,0.00025,0.001831,0.040366,0.06847
76,0.002289,0.000083,0.000166,0.000652,0.016049,0.025163
78,0.001581,0.000125,0.000083,0.000416,0.006339,0.010043
80,0.001373,0.000097,0.000014,0.000277,0.004328,0.006076
82,0.00104,0.000042,0.000042,0.000236,0.002414,0.00344
84,0.000777,0,0.000014,0.000139,0.001595,0.002802
86,0.000583,0.000028,0.000055,0.000125,0.001179,0.001706
88,0.000666,0.000055,0.000042,0.000097,0.001359,0.00215
90,0.000527,0.000028,0.000028,0.000125,0.000916,0.001207
92,0.000555,0.000028,0.000014,0.000028,0.000347,0.000569
94,0.000763,0.000596,0.000652,0.000583,0.000666,0.000721
96,0.011416,0.015425,0.015453,0.013386,0.013039,0.010986
98,0.010418,0.009474,0.008906,0.009974,0.008101,0.008559
100,0.003773,0.001401,0.001248,0.0019,0.001817,0.001706
102,0.001262,0.000139,0.000208,0.000541,0.00061,0.00061
104,0.000375,0.000139,0.000083,0.000111,0.00025,0.000222
106,0.000319,0.000583,0.000888,0.000791,0.000236,0.000333
108,0.00025,0.000361,0.000444,0.00061,0.000208,0.000277
110,0.000153,0.000111,0.000111,0.000125,0.000791,0.000971
112,0.000153,0.000028,0.000055,0.00018,0.002289,0.002982
114,0.000097,0.000028,0.000028,0.000055,0.000416,0.000513
116,0.000042,0.000028,0.000028,0.000083,0.000139,0.000333
118,0.000042,0.000042,0,0.000028,0.000125,0.000153
120,0,0,0.000028,0.000028,0.000194,0.000264
122,0.000222,0.000333,0.00018,0.000277,0.000208,0.000083
124,0.00197,0.002178,0.00215,0.002219,0.001387,0.001373
126,0.004064,0.004883,0.003884,0.003801,0.004314,0.002747
128,0.00412,0.004106,0.004494,0.004148,0.003704,0.003038
