,0,400,800,1200,1600,2000,
0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0
72,0.000291,0.0024,0.001013,0.002552,0.006492,0.000916,0.000707
74,0.012443,0.034721,0.033999,0.025343,0.03117,0.019892,0.01641
76,0.055736,0.069538,0.187697,0.089347,0.183646,0.02913,0.028437
78,1.101435,1.367659,1.678772,1.841181,1.626656,1.342149,1.346061
80,0.193814,0.241644,0.174824,0.150896,0.150632,0.539703,0.53145
82,0.05532,0.053503,0.050493,0.039076,0.044889,0.146151,0.158539
84,0.013483,0.01487,0.018311,0.011722,0.025635,0.038882,0.047399
86,0.011805,0.008184,0.020849,0.006159,0.017229,0.017561,0.019393
88,0.058178,0.074338,0.029089,0.010154,0.054224,0.11279,0.116216
90,0.104356,0.071855,0.015883,0.028562,0.029089,0.064406,0.059232
92,0.032335,0.014191,0.005979,0.00516,0.010348,0.023873,0.020585
94,0.510753,0.247276,0.027535,0.028617,0.067985,0.010029,0.009058
96,0.090485,0.080428,0.078361,0.06134,0.071619,0.022625,0.016937
98,0.080483,0.075281,0.048981,0.069844,0.036552,0.020655,0.018255
100,0.017312,0.012484,0.010237,0.00867,0.009821,0.005701,0.004702
102,0.008129,0.007657,0.009807,0.011389,0.009017,0.00258,0.002067
104,0.00817,0.005119,0.004342,0.002788,0.004716,0.001429,0.001359
106,0.024317,0.015647,0.005826,0.008434,0.009377,0.000902,0.000791
108,0.018477,0.012623,0.001956,0.001928,0.004966,0.00068,0.001013
110,0.003981,0.002358,0.001318,0.000652,0.001651,0.000361,0.000458
112,0.004245,0.00276,0.001332,0.000943,0.00258,0.000111,0.000402
114,0.001998,0.001318,0.001207,0.000555,0.00147,0.000194,0.00018
116,0.00129,0.000957,0.001054,0.000444,0.001027,0.000153,0.000388
118,0.001054,0.000818,0.000375,0.000305,0.00061,0.000153,0.000236
120,0.001665,0.001013,0.000333,0.000222,0.000583,0.000055,0.000305
122,0.001054,0.000638,0.000347,0.000166,0.000624,0.000042,0.00018
124,0.004578,0.002011,0.000791,0.000472,0.002011,0.000111,0.000097
126,0.001221,0.00061,0.000361,0.000125,0.000569,0.000055,0.000083
128,0.000194,0.000222,0.000153,0.000069,0.000264,0.000069,0.000055
130,0.000375,0.000277,0.000222,0.000222,0.000277,0.000125,0.000111
132,0.000264,0.000305,0.000097,0.000083,0.00018,0.000042,0.000153
134,0.000541,0.000333,0.000291,0.000388,0.00025,0.000139,0.000083
136,0.000347,0.000277,0.00018,0.000236,0.000305,0.000069,0.000153
138,0.000153,0.000222,0.000139,0.000194,0.000222,0.000125,0.00025
140,0.000111,0.000139,0.000166,0.000208,0.000222,0.000111,0.000236
142,0.000097,0.000194,0.000111,0.000055,0.000097,0.000083,0.000125
144,0.000194,0.00018,0.000069,0.000111,0.000055,0.000042,0.000139
146,0.000097,0.000083,0.000069,0.00018,0.000042,0.000111,0.000028
148,0.000111,0.000083,0.000125,0.000028,0.000069,0.000069,0.000083
150,0.000166,0.000097,0.000111,0.000083,0.000014,0.000028,0.000042
152,0.000097,0.000194,0.000083,0.000055,0.000028,0.000097,0.000139
154,0.000139,0.000291,0.000153,0.000125,0.000111,0.000264,0.000264
156,0.000111,0.000333,0.000333,0.00025,0.000305,0.000139,0.000153
158,0.000097,0.000236,0.000208,0.000236,0.000153,0.000097,0.000153
160,0.000083,0.000069,0.000125,0.000083,0.000125,0.000111,0.000083
162,0.000125,0.000083,0.000111,0.000042,0.000055,0.000028,0.000042
164,0.000083,0.000111,0.000083,0.000111,0.000042,0.000042,0.000097
166,0.000069,0.000069,0.000083,0.000028,0.000111,0.000042,0.000028
168,0.000083,0.000055,0.000139,0.000042,0.000042,0.000083,0.000083
170,0.000125,0.000097,0.000055,0.000125,0.000125,0.000055,0.000083
172,0.000083,0.000083,0.000139,0.000139,0.000042,0.000042,0.000055
174,0.000111,0.000069,0.000139,0.000111,0.000139,0.000014,0.000083
176,0.000222,0.000097,0.000069,0.000111,0.000153,0.000014,0.000028
178,0.000055,0.000208,0.000125,0.000596,0.001054,0.000208,0.000194
180,0.001013,0.00713,0.008628,0.00928,0.009641,0.006228,0.00609
182,0.002525,0.011472,0.009724,0.008531,0.007546,0.009003,0.009336
184,0.002386,0.005382,0.003981,0.003662,0.005035,0.004508,0.004619
186,0.00154,0.004245,0.003607,0.003204,0.003232,0.003856,0.004841
188,0.000985,0.001054,0.000583,0.000513,0.000763,0.001082,0.001595
190,0.000916,0.00043,0.000291,0.000333,0.000277,0.001124,0.001623
192,0.001457,0.000291,0.000707,0.000153,0.000166,0.001567,0.001928
194,0.002025,0.000388,0.000791,0.000458,0.000416,0.000763,0.000791
196,0.003204,0.000943,0.001096,0.001887,0.001068,0.000999,0.000791
198,0.005133,0.000805,0.001346,0.001235,0.000902,0.000555,0.000388
200,0.00369,0.001332,0.001817,0.001401,0.001678,0.001221,0.000749
202,0.002913,0.001124,0.00104,0.000902,0.000985,0.000874,0.000943
204,0.004245,0.002344,0.006853,0.004439,0.006034,0.002303,0.002358
206,0.011791,0.015675,0.016646,0.019184,0.015911,0.016341,0.016202
208,0.003399,0.00283,0.002122,0.002455,0.002136,0.005771,0.005826
210,0.001845,0.00068,0.000888,0.000513,0.000721,0.001637,0.001873
