overflow 1ms,,
,over 400us,over 1ms
1,2.037797,0.183757
2,2.209708,0.200265
3,2.340365,0.222099
4,2.430642,0.249842
5,2.561673,0.27832
6,2.718769,0.300626
7,2.871288,0.322918
8,3.098699,0.343253
9,3.227303,0.367224
10,3.430342,0.400099
11,3.663316,0.425637
12,3.860945,0.465754
13,4.031178,0.485673
14,4.216322,0.515053
15,4.333829,0.551952
16,4.630945,0.583274
17,4.739824,0.638885
18,4.99588,0.688463
19,5.206923,0.726818
20,5.427704,0.769986
21,5.681319,0.819092
22,5.918857,0.849138
23,6.161901,0.908314
24,6.435824,0.959598
25,6.670227,1.022824
26,6.833385,1.07863
27,7.116241,1.126057
28,7.269107,1.190213
29,7.516299,1.30722
30,7.687503,1.393641
31,7.970637,1.468867
32,8.254866,1.530887
33,8.596608,1.615254
34,8.725184,1.678966
35,8.973139,1.759755
36,9.299608,1.874223
37,9.395253,1.91914
38,9.68861,1.970492
39,9.980913,2.09979
40,10.260024,2.173462
41,10.480985,2.316215
42,10.727525,2.39846
43,11.035808,2.476737
44,11.299563,2.579401
45,11.639529,2.630879
46,11.856606,2.790597
47,12.122234,2.952617
48,12.234234,2.969513
49,12.511,3.115845
50,12.754156,3.246613
51,13.045835,3.382485
52,13.316137,3.387742
53,13.577451,3.529413
54,13.811604,3.748918
55,14.014685,3.830677
56,14.366053,3.992767
57,14.707947,4.139751
58,14.980427,4.191409
59,15.115648,4.265234
60,15.402929,4.455719
61,15.683802,4.637479
62,16.041565,4.731126
63,16.140692,4.881411
64,16.36175,5.046428
65,16.511452,5.12533
66,16.700356,5.229922
67,16.828794,5.288155
68,16.801591,5.373577
69,16.584292,5.397616
70,16.514976,5.377502
71,16.379339,5.333252
72,16.254883,5.388003
73,15.965646,5.48695
74,15.669667,5.44883
75,15.406772,5.385409
76,15.141921,5.26044
77,14.768621,5.172244
78,14.440835,5.114441
79,14.081726,5.003163
80,13.553051,4.840074
81,13.286438,4.875974
82,13.077892,4.886683
83,12.741089,4.703217
84,12.368247,4.496918
85,11.768036,4.361905
86,10.978296,4.035076
87,10.03916,3.624822
88,9.150529,3.247029
89,8.453383,2.952798
90,7.68914,2.656056
91,6.774458,2.288555
92,5.751038,1.83394
93,4.843681,1.422563
94,4.314977,1.252122
95,3.780129,1.037348
96,3.370597,0.883193
97,3.018563,0.78229
98,2.559107,0.637887
99,2.310638,0.553173
100,2.116616,0.500891
101,1.790355,0.407285
102,1.444772,0.319686
103,1.256353,0.271135
104,1.074177,0.224901
105,0.960305,0.190901
106,0.881389,0.172341
107,0.800365,0.155848
108,0.654755,0.121904
109,0.570568,0.101776
110,0.510393,0.089139
111,0.414054,0.066681
112,0.339827,0.04948
113,0.165364,0.016438
114,0.153309,0.013636
115,0.177155,0.023304
116,0.15238,0.014995
117,0.137246,0.012054
118,0.122806,0.007643
119,0.130532,0.008198
120,0.147761,0.013996
121,0.140658,0.010681
122,0.157346,0.019434
123,0.145222,0.009835
124,0.162617,0.016105
125,0.14851,0.009474
126,0.145361,0.009724
127,0.154877,0.009988
128,0.157387,0.011194
129,0.154877,0.011097
130,0.163574,0.010848
131,0.162187,0.012165
132,0.157457,0.00989
133,0.165336,0.011722
134,0.173825,0.012401
135,0.175004,0.01401
136,0.119795,0.009225
137,0.118464,0.008989
138,0.117812,0.008808
139,0.121432,0.009322
140,0.124983,0.008739
141,0.124387,0.010099
142,0.131059,0.011624
143,0.13891,0.015425
144,0.12963,0.010182
145,0.136025,0.010293
146,0.136414,0.010848
147,0.138661,0.011722
148,0.098808,0.007241
149,0.097518,0.006645
150,0.100444,0.007505
151,0.097226,0.005313
152,0.097698,0.005091
153,0.091123,0.005465
154,0.093689,0.007019
155,0.091941,0.006464
156,0.096158,0.006658
157,0.123915,0.011486
158,0.097961,0.004897
159,0.059981,0.00301
160,0.056319,0.002747
161,0.060355,0.003093
162,0.073034,0.003704
163,0.062949,0.002996
164,0.072146,0.002539
165,0.060994,0.002913
166,0.070939,0.005396
167,0.068623,0.003301
168,0.064822,0.003038
169,0.067569,0.003038
170,0.069053,0.002747
171,0.056985,0.002816
172,0.052782,0.002247
173,0.054113,0.003177
174,0.055417,0.002969
175,0.060175,0.002483
176,0.054405,0.002636
177,0.053988,0.002372
178,0.052435,0.002802
179,0.054807,0.00258
180,0.060785,0.003329
181,0.064226,0.003177
182,0.048689,0.001873
183,0.052338,0.003024
184,0.047524,0.001609
185,0.047177,0.001734
186,0.053447,0.001776
187,0.046955,0.001748
188,0.046844,0.001776
189,0.046248,0.002039
190,0.048592,0.001762
191,0.052893,0.001595
192,0.048953,0.002483
193,0.053281,0.002594
194,0.044542,0.001651
195,0.042308,0.004217
196,0.038882,0.001942
197,0.046068,0.001137
198,0.048273,0.001248
199,0.045402,0.0019
200,0.043931,0.001443
201,0.045222,0.002095
202,0.049119,0.002539
203,0.048176,0.001484
204,0.048953,0.001734
205,0.048454,0.002095
206,0.048856,0.001443
207,0.048065,0.002649
208,0.049674,0.001817
209,0.048662,0.002372
210,0.045457,0.002122
211,0.050562,0.00258
212,0.052754,0.003842
213,0.052171,0.002303
214,0.057498,0.003496
215,0.062103,0.007435
216,0.062617,0.010126
217,0.056055,0.007699
218,0.054959,0.006908
219,0.06682,0.006298
220,0.062145,0.009252
221,0.0646,0.010764
222,0.062408,0.007935
223,0.071744,0.015717
224,0.065474,0.010778
225,0.06467,0.009724
226,0.072008,0.013941
227,0.07327,0.013705
228,0.066792,0.006436
229,0.075448,0.006561
230,0.071272,0.010279
231,0.066334,0.00903
232,0.080691,0.013081
233,0.073103,0.008226
234,0.077251,0.010556
235,0.072035,0.007935
236,0.074851,0.011222
237,0.07259,0.012804
238,0.072438,0.00903
239,0.064864,0.007088
240,0.067846,0.007518
241,0.069899,0.009114
242,0.071148,0.007824
243,0.074726,0.011333
244,0.081246,0.01021
245,0.073242,0.008392
246,0.077334,0.006395
247,0.07603,0.007241
248,0.077542,0.007102
249,0.076641,0.007352
250,0.084686,0.006797
251,0.083355,0.006645
252,0.084617,0.004702
253,0.08642,0.004689
254,0.086004,0.006187
255,0.094147,0.00781
256,0.089458,0.008767
257,0.091289,0.007574
258,0.091816,0.00645
259,0.089944,0.006811
260,0.090609,0.005479
261,0.090998,0.006381
262,0.098655,0.006117
263,0.09656,0.004744
264,0.100542,0.007255
265,0.100708,0.005937
266,0.100223,0.006353
267,0.107242,0.005715
268,0.11537,0.005327
269,0.112915,0.007102
270,0.116702,0.006284
271,0.120336,0.006034
272,0.116952,0.008157
273,0.130352,0.010556
274,0.12712,0.00695
275,0.122736,0.007921
276,0.131392,0.008753
277,0.130379,0.006603
278,0.144237,0.007061
279,0.149148,0.006908
280,0.146901,0.007241
281,0.163588,0.0086
282,0.162534,0.007421
283,0.172965,0.011416
284,0.175379,0.014121
285,0.177709,0.014857
286,0.180511,0.005327
287,0.185228,0.00781
288,0.187836,0.012165
289,0.204981,0.027632
290,0.207603,0.036385
291,0.195368,0.037675
292,0.180678,0.036871
293,0.156139,0.027716
294,0.14328,0.034873
295,0.13511,0.038563
296,0.130268,0.038813
297,0.109392,0.030212
298,0.080025,0.011985
299,0.086614,0.020155
300,0.07739,0.018449
301,0.072798,0.017783
302,0.06546,0.018241
303,0.065904,0.010112
304,0.054585,0.009294
305,0.058885,0.015508
306,0.060342,0.014191
307,0.048759,0.008212
308,0.048232,0.007505
309,0.038924,0.001373
310,0.040408,0.00111
311,0.037689,0.002317
312,0.045069,0.00473
313,0.038078,0.003634
314,0.038882,0.004869
315,0.037564,0.0048
316,0.036732,0.004689
317,0.043266,0.008989
318,0.036538,0.001706
319,0.036524,0.003468
320,0.029852,0.002053
321,0.034207,0.001248
322,0.034318,0.001928
323,0.034027,0.001443
324,0.035719,0.002649
325,0.03952,0.001096
326,0.038508,0.001096
327,0.03744,0.000805
328,0.034485,0.000569
329,0.030823,0.000971
330,0.035178,0.002053
331,0.038771,0.001831
332,0.035026,0.001082
333,0.036011,0.001151
334,0.03418,0.000763
335,0.034804,0.002469
336,0.033639,0.000624
337,0.033902,0.000694
338,0.036316,0.001235
339,0.037426,0.001443
340,0.038147,0.001165
341,0.032293,0.001415
342,0.033625,0.003218
343,0.041143,0.002441
344,0.034166,0.000929
345,0.03633,0.000874
346,0.033833,0.001124
347,0.030268,0.00154
348,0.032959,0.002414
349,0.033791,0.001165
350,0.033167,0.001276
351,0.033916,0.001235
352,0.038452,0.001623
353,0.036427,0.001054
354,0.034041,0.001137
355,0.040658,0.003066
356,0.036205,0.001776
357,0.033417,0.001151
358,0.03289,0.0019
359,0.035858,0.001845
360,0.039978,0.004175
361,0.035775,0.001859
362,0.040755,0.004966
363,0.038411,0.00609
364,0.038522,0.007324
365,0.041712,0.009155
366,0.034637,0.003024
367,0.040366,0.008559
368,0.037994,0.006964
369,0.038216,0.007075
370,0.041088,0.008628
371,0.039562,0.004786
372,0.033278,0.003759
373,0.03891,0.008531
374,0.036843,0.006922
375,0.045041,0.007477
376,0.038161,0.005618
377,0.038216,0.006478
378,0.043696,0.008323
379,0.038466,0.007352
380,0.042919,0.008878
381,0.040963,0.007199
