,0,400,800,1200,1600,2000,2400,2800
0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0
40,0.000111,0.000014,0.000014,0,0.000028,0,0,0
42,0.007366,0.00541,0.004994,0.00154,0.009877,0.002317,0.007782,0.000042
44,0.021126,0.02354,0.030448,0.010778,0.018422,0.018588,0.022736,0.013247
46,0.016854,0.011638,0.019309,0.016632,0.008698,0.013955,0.014191,0.020169
48,0.004966,0.001429,0.002233,0.008961,0.001457,0.001928,0.002011,0.010237
50,0.001401,0.000818,0.000957,0.004092,0.000596,0.000957,0.000721,0.004051
52,0.001096,0.000472,0.000957,0.00197,0.000541,0.000596,0.000971,0.001304
54,0.001776,0.000721,0.001235,0.001734,0.000999,0.001124,0.002108,0.001776
56,0.002164,0.001124,0.001567,0.001137,0.000999,0.001387,0.001873,0.001748
58,0.401972,0.04106,0.214844,0.158955,0.684384,0.08237,0.28244,0.035081
60,1.119621,2.014535,1.605405,1.336878,1.24373,1.791715,0.960874,1.098591
62,0.381997,0.11089,0.300348,0.485285,0.137343,0.226759,0.568542,0.69329
64,0.077515,0.03196,0.055126,0.101984,0.032265,0.027161,0.149051,0.094424
66,0.026869,0.011,0.013192,0.058497,0.012165,0.009363,0.048079,0.030379
68,0.01236,0.007199,0.010473,0.03651,0.022111,0.00713,0.059606,0.02784
70,0.016008,0.016396,0.010903,0.023776,0.031461,0.014066,0.133681,0.202789
72,0.025829,0.019864,0.00627,0.010778,0.026481,0.019129,0.069566,0.093786
74,0.078097,0.026023,0.051755,0.043807,0.069719,0.050312,0.023984,0.01383
76,0.100389,0.051297,0.059801,0.060952,0.044902,0.090152,0.012928,0.008864
78,0.020738,0.004841,0.007907,0.009377,0.007671,0.008462,0.011985,0.013303
