overflow 1ms,,,
,over 400us,over 500us,over 1ms
1,0.14636,0.019115,0.002774
2,0.146207,0.020585,0.002774
3,0.149037,0.021737,0.002247
4,0.13966,0.017353,0.002247
5,0.137981,0.020142,0.002455
6,0.135762,0.017783,0.002455
7,0.138841,0.019309,0.002053
8,0.135637,0.018144,0.002053
9,0.13253,0.01555,0.001942
10,0.136871,0.018907,0.001942
11,0.130213,0.014704,0.001387
12,0.133764,0.017381,0.001387
13,0.132349,0.016285,0.001332
14,0.129478,0.014468,0.000999
15,0.134194,0.016577,0.001623
16,0.139077,0.017797,0.001027
17,0.140325,0.017187,0.001401
18,0.137981,0.016563,0.001082
19,0.141962,0.019171,0.001096
20,0.140631,0.017839,0.001124
21,0.152144,0.024428,0.001845
22,0.139576,0.018089,0.00172
23,0.138259,0.016688,0.001512
24,0.1359,0.015356,0.001651
25,0.138772,0.016799,0.001346
26,0.139743,0.017561,0.00738
27,0.13726,0.016618,0.001457
28,0.145638,0.022805,0.001221
29,0.140201,0.017645,0.001235
30,0.141407,0.018768,0.001137
31,0.145167,0.021903,0.001193
32,0.142462,0.019961,0.001054
33,0.141269,0.017797,0.00308
34,0.135734,0.017742,0.001526
35,0.132557,0.015411,0.00129
36,0.136205,0.019018,0.001817
37,0.133722,0.016965,0.002899
38,0.129977,0.014246,0.001554
39,0.13529,0.017631,0.001415
40,0.133889,0.017215,0.001013
41,0.137218,0.018172,0.00111
42,0.137093,0.019767,0.001179
43,0.136816,0.018532,0.000929
44,0.139091,0.019226,0.001429
45,0.137593,0.018158,0.00104
46,0.140034,0.020155,0.000916
47,0.136205,0.017978,0.003343
48,0.139327,0.019101,0.001304
49,0.140963,0.019573,0.001498
50,0.137412,0.018616,0.001151
51,0.136622,0.018671,0.001567
52,0.134291,0.016188,0.001359
53,0.139465,0.018852,0.001803
54,0.139091,0.020197,0.001623
55,0.133875,0.016008,0.001373
56,0.138578,0.018574,0.001762
57,0.135817,0.017048,0.001165
58,0.138148,0.018768,0.001346
59,0.138786,0.018574,0.002414
60,0.139535,0.019226,0.001276
61,0.138605,0.018602,0.001179
62,0.138952,0.018671,0.001137
63,0.137579,0.017492,0.001359
64,0.143044,0.021903,0.001956
65,0.139909,0.020239,0.001332
66,0.132099,0.015148,0.002816
67,0.134208,0.016507,0.001137
68,0.133501,0.015772,0.001609
69,0.134763,0.016022,0.002552
70,0.134707,0.016577,0.001609
71,0.134888,0.017034,0.001207
72,0.138023,0.01838,0.001512
73,0.137343,0.01838,0.001512
74,0.136095,0.017131,0.001248
75,0.137204,0.018532,0.001443
76,0.133695,0.015619,0.001914
77,0.141061,0.020031,0.001054
78,0.141782,0.021321,0.001096
79,0.143211,0.020613,0.001346
80,0.139313,0.019393,0.001887
81,0.143613,0.021584,0.00154
82,0.135762,0.01666,0.001484
83,0.137066,0.017645,0.001512
84,0.136247,0.017201,0.001429
85,0.13339,0.015758,0.002275
86,0.138023,0.017409,0.002081
87,0.132627,0.01512,0.001332
88,0.135304,0.016105,0.001498
89,0.136039,0.01709,0.00147
90,0.136316,0.015952,0.001248
91,0.13898,0.01856,0.001304
92,0.13468,0.014954,0.001443
93,0.139729,0.018949,0.000999
94,0.140866,0.020794,0.001096
95,0.140769,0.019878,0.001498
96,0.134416,0.0158,0.001179
97,0.141324,0.019698,0.00129
