,0,400,800,1200,1600,2000,
0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
4,0.003315,0,0,0,0,0,0
6,0.002233,0,0,0,0,0,0
8,0.000166,0,0,0,0,0,0
10,0.000166,0,0,0,0,0,0
12,0.00652,0,0,0,0,0,0
14,0.00455,0,0,0,0,0,0
16,1.291351,0,0,0,0,0,0
18,0.471455,0,0,0,0,0,0
20,0.418271,0,0,0,0,0,0
22,24.822624,0,0,0,0,0,0
24,7.131736,0,0,0,0,0,0
26,19.521831,0,0,0,0,0,0
28,2.916177,0,0,0,0,0,0
30,0.143349,0,0,0,0,0,0
32,19.66568,0,0,0,0,0,0
34,1.978524,0,0,0,0,0,0
36,0.099862,0,0,0,0,0,0
38,0.302859,0,0,0,0,0,0
40,4.11352,0,0,0,0,0,0
42,16.631192,0,0,0,0,0,0
44,0.427426,0,0,0,0,0,0
46,0.030185,0,0,0,0,0,0
48,0.002233,0,0,0,0,0,0
50,0.001346,0,0,0,0,0,0
52,0.001776,0,0,0,0,0,0
54,0.001013,0,0,0,0,0,0
56,0.001054,0.000777,0.000236,0,0.000555,0.000402,0.000721
58,0.000902,0.002539,0.001789,0.000777,0.002788,0.002636,0.001623
60,0.00129,0.00068,0.002081,0.002566,0.004716,0.000999,0.001443
62,0.001013,0.000125,0.000583,0.000791,0.001082,0.000305,0.000638
64,0.00043,0.000111,0.000125,0.000333,0.000166,0.000194,0.000208
66,0.000763,0.000069,0.000111,0.00018,0.000153,0.000083,0.00025
68,0.000388,0.000153,0.000277,0.000721,0.000069,0.00018,0.000319
70,0.000402,0.000499,0.00025,0.000957,0.000652,0.000624,0.000458
72,0.000166,0.000055,0.000042,0.000749,0.000236,0.000139,0.000097
74,0.000236,0.000208,0.000028,0.000153,0.000028,0.000069,0.000069
76,0.000222,0.000264,0.000028,0.000055,0.000083,0.000014,0.000111
78,0.000153,0.000069,0,0.000111,0.000014,0.000028,0.000014
80,0.000028,0.000028,0,0.000097,0.000028,0,0
82,0.000111,0,0.000014,0.000014,0,0,0
84,0.000042,0,0.000014,0.000014,0,0,0
86,0.000042,0.000014,0,0,0,0,0
88,0.000014,0.000055,0.000014,0.000014,0,0,0.000014
90,0.000014,0.000028,0,0.000014,0,0,0.000014
92,0,0.000042,0,0.000014,0,0,0
94,0.000014,0,0,0,0,0,0.000014
96,0,0,0,0,0,0.000014,0
98,0,0,0,0,0.000014,0,0
100,0,0,0,0.000014,0,0.000014,0
102,0,0.000014,0,0.000028,0.000028,0,0
104,0.000028,0.000097,0.000055,0.000083,0.000097,0.000042,0.000069
106,0,0.000028,0,0.000028,0.000014,0,0.000014
108,0.000042,0,0,0,0,0.000014,0
110,0.000069,0,0,0,0,0.000014,0.000014
112,0.000014,0.000028,0,0,0.000014,0.000014,0.000014
114,0.000055,0,0,0,0,0,0
116,0.000069,0,0,0,0,0,0
118,0.000042,0,0,0,0,0,0
120,0.000083,0,0,0,0,0,0
122,0.000125,0,0,0,0,0,0
124,0.000111,0,0,0,0,0,0
126,0.000042,0.000305,0.000014,0,0.000125,0.000166,0.00043
128,0.000042,0.001124,0.000458,0.000402,0.000596,0.001706,0.001581
130,0.000083,0.000596,0.00147,0.001734,0.001429,0.000555,0.000902
132,0.000028,0.001027,0.001207,0.000347,0.000832,0.002788,0.0024
134,0.000042,0.002996,0.001859,0.002219,0.002608,0.002539,0.001748
136,0.000055,0.000208,0.002441,0.001457,0.001373,0.00104,0.001429
138,0.000028,0.000264,0.000929,0.000569,0.000527,0.000291,0.000666
140,0.000042,0.000805,0.000194,0.000472,0.000694,0.000264,0.000416
142,0.000028,0.000402,0.000208,0.000749,0.000347,0.000361,0.000541
144,0.000014,0.001082,0.000388,0.000513,0.000735,0.000291,0.000375
146,0.000028,0.000874,0.000083,0.000846,0.000763,0.000208,0.000319
148,0.000014,0.000402,0.000083,0.000375,0.000236,0.000083,0.000042
150,0,0.000208,0.000028,0.000153,0.000264,0.000139,0.000194
152,0.000014,0.000375,0.000208,0.000236,0.000153,0.000083,0.000222
154,0,0.000125,0.000153,0.000125,0.000277,0.000111,0.000277
156,0,0.000194,0.000125,0.000042,0.000277,0.000222,0.000111
158,0,0.000083,0.000125,0.000166,0.000264,0.000111,0.00018
160,0,0.002899,0.000333,0.000069,0.001165,0.001942,0.002885
162,0,0.025149,0.007616,0.006173,0.007033,0.02569,0.026717
164,0,0.110862,0.022111,0.030434,0.025621,0.015481,0.01727
166,0,0.279444,0.022583,0.008267,0.012484,0.025815,0.030199
168,0,0.362577,0.027327,0.024248,0.03454,0.040977,0.036788
170,0,0.301222,0.039964,0.039201,0.033236,0.021376,0.023596
172,0,0.121404,0.026245,0.00602,0.012887,0.007962,0.012124
174,0,0.030226,0.005354,0.006062,0.0091,0.005868,0.006991
176,0,0.021806,0.002594,0.009682,0.00559,0.004161,0.005673
178,0,0.035761,0.004702,0.00781,0.006117,0.005313,0.006977
180,0,0.060591,0.003232,0.014635,0.012415,0.004813,0.004592
182,0,0.064975,0.001151,0.008864,0.003468,0.002566,0.002317
184,0,0.059357,0.000694,0.002067,0.004536,0.001193,0.00147
186,0,0.048315,0.000666,0.00129,0.001803,0.001013,0.001207
188,0,0.01702,0.000805,0.002344,0.001262,0.000749,0.000805
190,0,0.005812,0.000527,0.001373,0.001262,0.000583,0.000596
192,0,0.004439,0.000375,0.001027,0.000832,0.000707,0.000777
194,0,0.018366,0.0019,0.001484,0.003634,0.017215,0.016063
196,0,0.100833,0.034651,0.040255,0.02723,0.1091,0.101887
198,0,0.091747,0.094466,0.12318,0.108837,0.067749,0.065113
200,0,0.063088,0.098391,0.035067,0.058885,0.10849,0.117756
202,0,0.180886,0.109475,0.127716,0.107769,0.111819,0.110016
204,0,0.029769,0.125122,0.101776,0.111112,0.064947,0.061313
206,0,0.012013,0.083854,0.028645,0.070981,0.029907,0.038452
208,0,0.027813,0.016299,0.028173,0.041726,0.025108,0.028007
210,0,0.015744,0.00842,0.034416,0.014302,0.022417,0.024289
212,0,0.02766,0.012845,0.029588,0.01691,0.02422,0.023304
214,0,0.021446,0.007893,0.035165,0.015176,0.01616,0.01487
216,0,0.018796,0.003315,0.01573,0.006159,0.006936,0.007407
218,0,0.021057,0.002039,0.00362,0.005923,0.003884,0.003884
