,0,400,800,1200,1600,2000
0,0,0,0,0,0,0
2,0,0,0,0,0,0
4,0,0,0,0,0,0
6,0,0,0,0,0,0
8,0,0,0,0,0,0
10,0,0,0,0,0,0
12,0,0,0,0,0,0
14,0,0,0,0,0,0
16,0,0,0,0,0,0
18,0,0,0,0,0,0
20,0,0,0,0,0,0
22,0,0,0,0,0,0
24,0,0,0,0,0,0
26,0,0,0,0,0,0
28,0,0,0,0,0,0
30,0,0,0,0,0,0
32,0,0,0,0,0,0
34,0,0,0,0,0,0
36,0,0,0,0,0,0
38,0,0,0,0,0,0
40,0,0,0,0,0,0
42,0,0,0,0,0,0
44,0,0,0,0,0,0
46,0,0,0,0,0,0
48,0,0,0,0,0,0
50,0,0,0,0,0,0
52,0,0,0,0,0,0
54,0,0,0,0,0,0
56,0,0,0,0,0.000007,0
58,0.000014,0,0,0.000042,0,0
60,0,0,0.000021,0.000007,0.000014,0.000007
62,0.000007,0.000028,0.000007,0.000007,0,0.000014
64,0,0,0,0,0,0
66,0,0,0,0,0,0
68,0,0,0,0,0,0.000007
70,0,0,0,0,0,0
72,0,0,0,0,0,0
74,0,0,0,0,0,0
76,0.004876,0,0.005188,0.015689,0.017326,0
78,0.267771,0.001151,0.326212,0.958266,1.116645,0.00068
80,1.003591,0.045069,1.297205,2.377423,2.660363,0.24987
82,2.118218,0.585029,2.034607,2.365431,2.46281,1.636498
84,1.856544,1.541949,1.45039,0.853549,0.763272,2.036979
86,1.145332,2.459765,0.828566,0.192497,0.10969,1.28495
88,0.47606,1.700426,0.472898,0.094514,0.027084,0.418472
90,0.263512,0.819452,0.300563,0.154287,0.057449,0.195354
92,0.08651,0.138453,0.186393,0.14853,0.057623,0.19242
94,0.034464,0.016882,0.142288,0.069386,0.022146,0.352117
96,0.030684,0.005847,0.118686,0.037342,0.00731,0.260509
98,0.01684,0.003933,0.07963,0.023297,0.004827,0.114004
100,0.006568,0.002913,0.03411,0.013566,0.004619,0.074851
102,0.003336,0.001595,0.013164,0.006596,0.002747,0.104072
104,0.002032,0.000687,0.007498,0.002136,0.000576,0.106423
106,0.001554,0.000277,0.004758,0.001484,0.000368,0.068921
108,0.001027,0.000125,0.003676,0.001151,0.000215,0.035796
110,0.000818,0.000097,0.002663,0.000867,0.000139,0.026966
112,0.000527,0.000076,0.002011,0.000409,0.000055,0.024282
114,0.000465,0.000042,0.001713,0.000298,0.000042,0.022375
116,0.000423,0.000035,0.001498,0.000506,0.000035,0.018637
118,0.000236,0.000055,0.00095,0.00016,0.000021,0.015911
120,0.000166,0.000007,0.000541,0.00009,0,0.012769
122,0.000125,0.000007,0.000409,0.000097,0.000007,0.009558
124,0.000049,0.000014,0.000236,0.000035,0,0.007643
126,0.000076,0.000021,0.00027,0.000055,0,0.007726
128,0.000055,0.000014,0.000236,0.000055,0,0.008864
130,0.000028,0.000007,0.000194,0.000028,0,0.006721
132,0.000021,0.000007,0.000146,0.000035,0,0.005257
134,0.000035,0,0.00009,0.000014,0,0.004182
136,0.000007,0.000021,0.000104,0,0.000007,0.003301
138,0.000021,0,0.000111,0.000014,0,0.002185
140,0.000014,0.000007,0.000055,0.000007,0,0.002095
142,0.000021,0,0.000049,0,0,0.001415
144,0.000014,0,0.000055,0.000014,0,0.000957
146,0.000021,0,0.000028,0.000007,0,0.000839
148,0,0,0.000028,0.000007,0,0.000707
