overflow 1ms,,
,over 400us,over 1ms
1,0.012734,0.00344
2,0.014142,0.004307
3,0.033618,0.010022
4,0.012706,0.003842
5,0.014933,0.00437
6,0.015488,0.004758
7,0.030108,0.00989
8,0.01193,0.003926
9,0.017825,0.005195
10,0.017714,0.005133
11,0.012096,0.003773
12,0.019344,0.00645
13,0.021113,0.006208
14,0.02234,0.007241
15,0.011957,0.003919
16,0.021411,0.007525
17,0.012228,0.003995
18,0.015141,0.004439
19,0.033035,0.010369
20,0.020565,0.00636
21,0.012741,0.004203
22,0.01838,0.005049
23,0.027625,0.00808
24,0.020773,0.006631
25,0.015384,0.004786
26,0.017825,0.00559
27,0.023193,0.007296
28,0.020655,0.006797
29,0.021446,0.005604
30,0.013171,0.004182
31,0.0244,0.007123
32,0.023193,0.007276
33,0.018109,0.005542
34,0.012519,0.003718
35,0.024789,0.007061
36,0.022361,0.006631
37,0.016639,0.005334
38,0.01958,0.006638
39,0.021446,0.00575
40,0.015391,0.004696
41,0.021196,0.007498
42,0.025267,0.006527
43,0.018505,0.00516
44,0.01272,0.003766
45,0.020481,0.006561
46,0.028603,0.007546
47,0.021224,0.007061
48,0.012984,0.003912
49,0.026432,0.008157
50,0.028756,0.00817
51,0.012797,0.003704
52,0.012478,0.003842
53,0.028631,0.008385
54,0.026273,0.008087
55,0.012887,0.003891
56,0.0153,0.004557
57,0.023325,0.007609
58,0.029727,0.009197
59,0.015481,0.004418
60,0.018227,0.005105
61,0.023311,0.007248
62,0.022167,0.007179
63,0.018956,0.004931
64,0.015855,0.00489
65,0.023235,0.007338
66,0.027362,0.007505
67,0.018817,0.005285
68,0.012686,0.003898
69,0.021057,0.006769
70,0.029394,0.008864
71,0.015349,0.004585
72,0.01528,0.004342
73,0.021224,0.006305
74,0.028777,0.009273
75,0.012901,0.003891
76,0.01589,0.003981
77,0.025676,0.007116
78,0.015391,0.00446
79,0.019046,0.006166
80,0.020814,0.005472
81,0.018435,0.005091
82,0.012547,0.003662
83,0.022028,0.006749
84,0.025919,0.007172
85,0.016126,0.004425
86,0.016681,0.006436
87,5.264879,2.605528
88,0.07268,0.039943
89,0.017048,0.004411
90,0.012034,0.003836
91,0.033847,0.01021
92,0.01306,0.003995
93,0.015009,0.004696
94,0.014877,0.004522
95,0.033112,0.010584
96,0.014752,0.004259
97,0.023096,0.005944
98,0.015862,0.004605
99,0.040706,0.013677
100,0.015529,0.004487
101,0.018304,0.005146
102,0.011888,0.003808
103,0.024587,0.008073
104,0.020225,0.006464
105,0.01528,0.004536
106,0.012332,0.003766
107,0.02637,0.006998
108,0.025995,0.007276
109,0.013012,0.003981
110,0.012533,0.004051
111,0.019323,0.005958
112,0.034242,0.010959
113,0.012512,0.004092
114,0.029963,0.009627
115,0.015432,0.004432
116,0.024178,0.007352
117,0.015418,0.004259
118,0.026869,0.008746
119,0.015044,0.004876
120,0.026509,0.00876
121,0.02062,0.005701
122,0.029831,0.008788
123,0.012082,0.004127
124,0.021577,0.006658
125,0.021667,0.005597
126,0.020724,0.00654
127,0.016098,0.004342
128,0.015078,0.004487
