,0,400,800,1200,1600,2000
0,0,0,0,0,0,0
2,0,0,0,0,0,0
4,0,0,0,0,0,0
6,0,0,0,0,0,0
8,0,0,0,0,0,0
10,0,0,0,0,0,0
12,0,0,0,0,0,0
14,0,0,0,0,0,0
16,0,0,0,0,0,0
18,0,0,0,0,0,0
20,0,0,0,0,0,0
22,0,0,0,0,0,0
24,0,0,0,0,0,0
26,0,0,0,0,0,0
28,0,0,0,0,0,0
30,0,0,0,0,0,0
32,0,0,0,0,0,0
34,0,0,0,0,0,0
36,0,0,0,0,0,0
38,0,0,0,0,0,0
40,0,0,0,0,0,0
42,0,0,0,0,0,0
44,0,0,0,0,0,0
46,0,0,0,0,0,0
48,0,0,0,0,0,0
50,0,0,0,0,0,0
52,0,0,0,0,0,0
54,0,0,0,0,0,0
56,0,0,0,0,0,0
58,0,0,0,0,0,0
60,0,0,0,0,0,0
62,0,0,0,0,0,0
64,0,0,0,0,0,0
66,0,0,0,0,0,0
68,0,0,0,0,0,0
70,0,0,0,0,0,0
72,0,0,0,0,0,0
74,0,0,0,0,0,0
76,0,0,0,0,0,0
78,0,0,0,0,0,0
80,0,0,0,0,0,0
82,0.021348,0.009148,0.003045,0,0.024081,0.031579
84,3.922057,7.7881,0.803784,0.001949,2.23295,6.199653
86,4.379744,2.036563,4.437214,0.543206,3.848489,2.803497
88,1.58113,0.398684,3.512275,3.351759,2.477875,0.651661
90,0.593033,0.058379,1.159335,3.65362,1.162387,0.537942
92,0.208955,0.024227,0.573266,2.202266,0.478557,0.191435
94,0.137808,0.318597,0.163824,0.594954,0.239958,0.228674
96,0.088744,0.164087,0.098364,0.247768,0.141789,0.137107
98,0.055466,0.033243,0.056416,0.097934,0.082744,0.036864
100,0.079956,0.017034,0.030635,0.065932,0.07481,0.026065
102,0.044313,0.010723,0.015911,0.0438,0.035296,0.011278
104,0.024157,0.012963,0.007962,0.022146,0.01451,0.008018
106,0.01392,0.00215,0.00439,0.012727,0.00876,0.003149
108,0.009467,0.001242,0.002365,0.00738,0.004959,0.002074
110,0.007102,0.000541,0.001651,0.005764,0.003725,0.001658
112,0.005833,0.000638,0.001131,0.004883,0.002379,0.001061
114,0.005264,0.000548,0.001137,0.002788,0.001984,0.000853
116,0.005278,0.000617,0.000791,0.002372,0.00172,0.000701
118,0.004779,0.000513,0.000874,0.001831,0.001567,0.00077
120,0.004044,0.000687,0.00077,0.00145,0.001574,0.000707
122,0.00396,0.000624,0.000576,0.000992,0.001401,0.00077
124,0.004446,0.000444,0.000472,0.000763,0.001165,0.000798
126,0.00396,0.000284,0.00061,0.000874,0.000902,0.000492
128,0.004432,0.000354,0.000381,0.000818,0.000749,0.000437
130,0.003225,0.000527,0.000527,0.000749,0.000694,0.00059
132,0.002767,0.000534,0.000541,0.000583,0.000867,0.000666
134,0.002157,0.000513,0.000513,0.000756,0.000666,0.00052
136,0.001214,0.000527,0.000444,0.000534,0.000916,0.000555
138,0.000687,0.000423,0.000506,0.000569,0.000902,0.000486
140,0.000312,0.000534,0.000451,0.00061,0.000742,0.00043
142,0.000236,0.000381,0.000534,0.000555,0.000624,0.000534
144,0.000194,0.000479,0.000527,0.00059,0.000555,0.000548
146,0.000146,0.000409,0.000465,0.000576,0.000596,0.000492
148,0.000118,0.000513,0.000465,0.000569,0.000548,0.000576
150,0.000104,0.000472,0.00043,0.000499,0.000839,0.000513
