,0,400,800,1200,1600,2000
0,0,0,0,0,0,0
2,0,0,0,0,0,0
4,0,0,0,0,0,0
6,0,0,0,0,0,0
8,0,0,0,0,0,0
10,0,0,0,0,0,0
12,0,0,0,0,0,0
14,0,0,0,0,0,0
16,0,0,0,0,0,0
18,0,0,0,0,0,0
20,0,0,0,0,0,0
22,0,0,0,0,0,0
24,0,0,0,0,0,0
26,0,0,0,0,0,0
28,0,0,0,0,0,0
30,0,0,0,0,0,0
32,0,0,0,0,0,0
34,0,0,0,0,0,0
36,0,0,0,0,0,0
38,0,0,0,0,0,0
40,0,0,0,0,0,0
42,0,0,0,0,0,0
44,0,0,0,0,0,0
46,0.000222,0.000617,0.000014,0.000506,0.000021,0.000402
48,0.002996,0.005237,0.001117,0.004189,0.001685,0.004869
50,0.019295,0.032938,0.006242,0.023013,0.016216,0.026509
52,0.366676,0.615137,0.085546,0.528821,0.293309,0.581804
54,2.05323,3.075652,0.742687,2.888045,1.68756,2.960288
56,3.279918,3.717908,2.713623,3.717429,3.161517,3.509112
58,2.676204,2.29805,3.052528,2.39889,2.83183,2.356921
60,1.59532,0.872789,2.545443,0.96414,1.856863,0.955138
62,0.605975,0.20795,1.21598,0.236525,0.750545,0.301902
64,0.226385,0.118013,0.476671,0.136691,0.255377,0.171086
66,0.110696,0.112152,0.191921,0.130012,0.122584,0.136074
68,0.070724,0.084867,0.084901,0.096151,0.076017,0.093932
70,0.059814,0.042697,0.04432,0.047469,0.060203,0.051457
72,0.060501,0.01872,0.023977,0.021397,0.04767,0.029193
74,0.042683,0.012748,0.014378,0.014926,0.027577,0.017991
76,0.023665,0.008732,0.010272,0.010071,0.014725,0.011243
78,0.013532,0.006069,0.006922,0.007165,0.008829,0.007151
80,0.008691,0.003593,0.005195,0.003905,0.005653,0.004182
82,0.005764,0.002261,0.00378,0.00224,0.0036,0.002927
84,0.003863,0.001332,0.002178,0.001498,0.002476,0.002018
86,0.002684,0.000916,0.001609,0.001082,0.001526,0.001463
88,0.002996,0.000818,0.001006,0.000929,0.001415,0.001151
90,0.002788,0.000818,0.000818,0.000749,0.001463,0.001013
92,0.002344,0.000638,0.000652,0.000555,0.00104,0.000881
94,0.002164,0.000569,0.000499,0.000735,0.001061,0.000811
96,0.001574,0.000326,0.00052,0.000638,0.000832,0.000645
98,0.000853,0.000486,0.000395,0.000472,0.00052,0.000714
100,0.000652,0.000388,0.000354,0.000395,0.000486,0.000506
102,0.000541,0.000388,0.000277,0.000368,0.000388,0.000458
104,0.000402,0.000458,0.000243,0.000451,0.000451,0.000451
106,0.000534,0.000388,0.00025,0.000375,0.000361,0.000624
108,0.000437,0.000472,0.000215,0.000395,0.000375,0.000347
110,0.000437,0.000402,0.000208,0.000527,0.000388,0.00043
112,0.000492,0.000388,0.00025,0.000395,0.000312,0.000381
114,0.000458,0.000465,0.000298,0.000506,0.000381,0.000451
116,0.000513,0.000395,0.000298,0.000465,0.000305,0.000416
118,0.000492,0.000458,0.000243,0.000513,0.000284,0.000298
120,0.000492,0.000409,0.000236,0.000409,0.000326,0.000326
122,0.000451,0.000437,0.000243,0.000368,0.000479,0.000499
124,0.000479,0.000388,0.00027,0.000368,0.000305,0.000361
126,0.000368,0.000354,0.000312,0.000444,0.000319,0.000492
128,0.000465,0.000513,0.000284,0.000361,0.000361,0.000388
130,0.000492,0.000541,0.000243,0.000465,0.000347,0.000375
