overflow 1ms,,
,over 300us,over 1ms
1,0.100132,0.00086
2,0.104294,0.005895
3,0.106153,0.005334
4,0.110855,0.007518
5,0.108032,0.009509
6,0.129672,0.014128
7,0.138203,0.015723
8,0.130643,0.022888
9,0.143814,0.030635
10,0.116265,0.018213
11,0.100701,0.009023
12,0.047462,0.001762
13,0.047663,0.001651
14,0.045978,0.001443
15,0.053732,0.003156
16,0.049043,0.002192
17,0.078909,0.010196
18,0.05892,0.004855
19,0.041691,0.001692
20,0.046616,0.001783
21,0.051207,0.001616
22,0.059655,0.007491
23,0.048398,0.001387
24,0.045062,0.001595
25,0.061486,0.004508
26,0.046754,0.001533
27,0.072875,0.017291
28,0.133833,0.04475
29,0.050014,0.001366
30,0.049244,0.001408
31,0.047441,0.001685
32,0.045353,0.00059
33,0.04493,0.001519
34,0.046747,0.000603
35,0.04699,0.001796
36,0.04776,0.000721
37,0.043349,0.000562
38,0.046095,0.001436
39,0.052407,0.002122
40,0.043751,0.000694
41,0.042475,0.000548
42,0.045707,0.000492
43,0.038716,0.000617
44,0.044882,0.002559
45,0.044563,0.001339
46,0.046865,0.001179
47,0.049737,0.001533
48,0.053628,0.004217
49,0.064135,0.009495
50,0.054266,0.003627
51,0.049334,0.002004
52,0.051928,0.001741
53,0.04878,0.001665
54,0.047975,0.001685
55,0.091067,0.023186
56,0.049293,0.004543
57,0.047018,0.001616
58,0.081537,0.024234
59,0.080088,0.014912
60,0.065211,0.0103
61,0.048523,0.001526
62,0.046602,0.00258
63,0.044244,0.001581
64,0.044299,0.00111
65,0.043543,0.001255
66,0.046803,0.002407
67,0.044472,0.000465
68,0.044098,0.001311
69,0.039458,0.000506
70,0.042197,0.000749
71,0.049438,0.002379
72,0.046276,0.001297
73,0.044715,0.000596
74,0.04226,0.000534
75,0.047254,0.001658
76,0.043737,0.000513
77,0.040144,0.000583
78,0.042967,0.001554
79,0.042364,0.000513
80,0.042697,0.000638
81,0.041802,0.000673
82,0.048093,0.002428
83,0.040699,0.000548
84,0.04493,0.00061
85,0.047011,0.001637
86,0.043855,0.00052
87,0.049633,0.001387
88,0.040665,0.000541
89,0.046449,0.00188
90,0.044133,0.000922
91,0.044126,0.00061
92,0.04115,0.001221
93,0.04586,0.001817
94,0.048988,0.000701
95,0.04588,0.001013
96,0.04072,0.000673
97,0.041268,0.000534
98,0.048246,0.00215
99,0.046012,0.001117
100,0.04158,0.000492
101,0.057123,0.009093
102,0.081517,0.021882
103,0.062963,0.009058
104,0.061826,0.011097
105,0.049002,0.001068
106,0.105723,0.015293
107,0.061111,0.003731
108,0.081877,0.011083
109,0.181233,0.063095
110,0.063608,0.008441
111,0.051214,0.004682
112,0.065564,0.013289
113,0.043696,0.000818
114,0.04588,0.002081
115,0.060744,0.00894
116,0.044355,0.001457
117,0.039257,0.000756
118,0.048877,0.004564
119,0.046893,0.001616
120,0.049674,0.005313
121,0.047746,0.002268
122,0.042204,0.000458
123,0.043959,0.001498
124,0.061021,0.008704
125,0.057491,0.009148
126,0.056194,0.003711
127,0.090665,0.013775
128,0.083264,0.008191
129,0.122424,0.019316
130,0.098149,0.012859
131,0.055396,0.003093
132,0.087572,0.012838
133,0.04337,0.001491
134,0.097733,0.019774
135,0.107443,0.022659
136,0.068782,0.009516
137,0.046491,0.002802
138,0.081343,0.011819
139,0.071293,0.01005
140,0.085421,0.01693
141,0.114073,0.030733
142,0.101076,0.012394
143,0.044271,0.000506
144,0.057935,0.005542
145,0.043016,0.000388
146,0.048426,0.004494
147,0.041539,0.000562
148,0.060238,0.007012
149,0.057859,0.008552
150,0.051928,0.004605
151,0.046255,0.005576
152,0.042281,0.000562
153,0.047802,0.001949
154,0.057512,0.008774
155,0.058039,0.00962
156,0.046505,0.000541
157,0.125302,0.028541
158,0.087565,0.012346
159,0.075025,0.007262
160,0.096332,0.01752
161,0.073596,0.014107
162,0.089521,0.013691
163,0.046699,0.001269
164,0.079186,0.016604
165,0.134409,0.036073
166,0.128756,0.043911
167,0.064024,0.012269
168,0.066237,0.013199
169,0.091074,0.025246
170,0.094771,0.022361
171,0.07105,0.014343
172,0.059149,0.007012
173,0.060522,0.011943
174,0.141622,0.041143
175,0.133424,0.037696
176,0.052719,0.004487
177,0.048467,0.004682
178,0.043654,0.00147
179,0.069656,0.012901
180,0.059093,0.008788
181,0.047899,0.00276
182,0.063816,0.012901
183,0.045582,0.000499
184,0.056347,0.008774
185,0.064364,0.009703
186,0.105008,0.031724
187,0.328626,0.135359
188,0.609707,0.284119
189,0.927346,0.47597
190,1.265245,0.652362
191,0.955256,0.488885
192,0.857669,0.437511
193,0.458374,0.219872
194,0.337802,0.15702
195,0.398816,0.19095
196,0.286317,0.126246
197,0.266294,0.112749
198,0.196568,0.082959
199,0.117104,0.038501
200,0.093314,0.025087
201,0.06555,0.010064
202,0.057588,0.006235
203,0.043786,0.000479
204,0.046061,0.000714
205,0.045242,0.00163
206,0.042988,0.000513
207,0.052247,0.002108
208,0.046734,0.000569
209,0.043099,0.001436
210,0.039895,0.000541
211,0.041213,0.000569
212,0.045894,0.001033
213,0.054051,0.002747
214,0.041157,0.000687
215,0.043744,0.000673
216,0.047122,0.000701
217,0.044805,0.000388
218,0.050708,0.002289
219,0.047732,0.000596
220,0.044188,0.000603
221,0.043397,0.000548
222,0.048266,0.001533
223,0.040297,0.000721
224,0.052407,0.002393
225,0.03762,0.000513
226,0.045894,0.001651
227,0.044244,0.000472
228,0.045409,0.000624
229,0.043925,0.00172
230,0.051928,0.000645
231,0.048648,0.001561
232,0.040984,0.00061
233,0.047545,0.000617
234,0.045166,0.000596
235,0.060404,0.004501
236,0.042537,0.000638
237,0.04484,0.000534
238,0.042725,0.000465
239,0.044944,0.000423
240,0.042738,0.001366
241,0.051429,0.002767
242,0.043793,0.001436
243,0.044639,0.000811
244,0.048141,0.001325
245,0.040436,0.00068
246,0.044244,0.001533
247,0.046636,0.000583
248,0.041629,0.00052
249,0.04339,0.00145
250,0.045124,0.000603
251,0.041095,0.00061
252,0.048606,0.001796
253,0.038709,0.000617
254,0.046019,0.001429
255,0.043169,0.000583
256,0.041046,0.000555
257,0.042856,0.000687
258,0.04613,0.002226
259,0.045846,0.001554
260,0.046629,0.000576
261,0.041268,0.00061
262,0.046831,0.00068
263,0.049993,0.002199
264,0.047933,0.001165
265,0.050035,0.000499
266,0.049855,0.000555
267,0.072722,0.000264
268,0.069344,0.000222
269,0.073832,0.004259
270,0.068373,0.000208
271,0.06777,0.000243
272,0.083056,0.002636
273,0.076134,0.000201
274,0.068789,0.000208
275,0.069323,0.00025
276,0.067166,0.000215
277,0.077355,0.002213
278,0.069247,0.000194
279,0.076266,0.000291
280,0.075989,0.000201
281,0.075704,0.000222
282,0.076752,0.001089
283,0.087142,0.00233
284,0.076259,0.000236
285,0.067243,0.012561
286,0.051568,0.004376
287,0.049508,0.004286
288,0.065453,0.007151
289,0.044493,0.000187
290,0.04794,0.000236
291,0.040859,0.00025
292,0.041213,0.00018
293,0.049979,0.002518
294,0.04294,0.000187
295,0.047829,0.000229
296,0.045471,0.000312
297,0.037065,0.000208
298,0.049529,0.001228
299,0.049875,0.001463
300,0.042371,0.000215
301,0.041511,0.000222
302,0.042225,0.000208
303,0.04398,0.000194
304,0.054287,0.00353
305,0.042218,0.000194
306,0.05378,0.004307
307,0.045554,0.000257
308,0.043987,0.000208
309,0.05145,0.001595
310,0.048565,0.001588
311,0.047614,0.000173
312,0.044479,0.000187
313,0.047746,0.000243
314,0.044854,0.000277
315,0.068886,0.007532
316,0.043286,0.00018
317,0.040706,0.000229
318,0.043085,0.000277
319,0.040186,0.000201
320,0.052303,0.002837
321,0.048676,0.00095
322,0.045811,0.000187
323,0.042426,0.000166
324,0.042884,0.00016
325,0.046595,0.004238
326,0.051075,0.002823
327,0.047552,0.004404
328,0.052421,0.004675
329,0.044493,0.000222
330,0.048079,0.004259
331,0.072493,0.013872
332,0.047164,0.000992
333,0.057415,0.004307
334,0.041032,0.00018
335,0.043619,0.000173
336,0.04966,0.002677
337,0.042302,0.00018
338,0.065516,0.010022
339,0.045714,0.000236
340,0.043328,0.000187
341,0.053198,0.004494
342,0.057789,0.005528
343,0.043293,0.000187
344,0.045756,0.000929
345,0.053926,0.004515
346,0.042066,0.000201
347,0.04355,0.000215
348,0.061215,0.00627
349,0.054141,0.005438
350,0.061014,0.009343
351,0.063151,0.008392
352,0.045964,0.000236
353,0.067534,0.010119
354,0.051061,0.004702
355,0.046144,0.00102
356,0.043321,0.000194
357,0.044923,0.00016
358,0.048447,0.004342
359,0.04828,0.002046
360,0.053739,0.005035
361,0.065731,0.009759
362,0.045242,0.000187
363,0.045388,0.000201
364,0.054002,0.002414
365,0.04423,0.000187
366,0.04681,0.000229
367,0.049112,0.000895
368,0.051859,0.004453
369,0.048911,0.000416
370,0.056353,0.002441
371,0.044896,0.000236
372,0.050354,0.004231
373,0.056132,0.00525
374,0.056922,0.004238
375,0.053711,0.002754
376,0.056506,0.004342
377,0.042336,0.000215
378,0.046858,0.000187
379,0.061874,0.005001
380,0.050007,0.004709
381,0.054696,0.0024
382,0.058358,0.004293
383,0.050208,0.000243
384,0.048169,0.000153
385,0.053108,0.005583
386,0.065426,0.009752
387,0.038785,0.000194
388,0.051755,0.000201
389,0.052019,0.004474
390,0.044153,0.000166
391,0.044459,0.000902
392,0.049508,0.001429
393,0.05052,0.004321
394,0.04862,0.000201
395,0.05335,0.004536
396,0.048995,0.00016
397,0.049993,0.001762
398,0.048509,0.000222
399,0.057283,0.004619
400,0.057054,0.004543
401,0.054398,0.005105
402,0.051658,0.004342
403,0.048065,0.001297
404,0.04785,0.000673
405,0.042863,0.00018
406,0.060702,0.004487
407,0.050479,0.000354
408,0.048495,0.001352
409,0.050285,0.000201
410,0.04665,0.000201
411,0.050583,0.000728
412,0.053843,0.000215
413,0.046685,0.000194
414,0.053711,0.001609
415,0.048911,0.000187
416,0.045263,0.000201
417,0.047496,0.000187
418,0.054183,0.000916
419,0.052331,0.001561
420,0.043293,0.000208
421,0.050964,0.000187
422,0.050548,0.000215
423,0.046414,0.000201
424,0.046297,0.000194
425,0.053212,0.002573
426,0.048017,0.000187
427,0.050867,0.000208
428,0.055993,0.004911
429,0.046352,0.000361
430,0.056714,0.00439
431,0.044306,0.000215
432,0.060626,0.006582
433,0.050597,0.000298
434,0.046553,0.000187
435,0.04801,0.001089
436,0.04717,0.00018
437,0.057033,0.00215
438,0.051568,0.000208
439,0.04835,0.000277
440,0.057082,0.004737
441,0.044861,0.000201
442,0.050763,0.000187
443,0.06417,0.002115
444,0.053253,0.00077
445,0.060314,0.000208
446,0.051804,0.000208
447,0.045332,0.000208
448,0.052893,0.00043
449,0.054425,0.00027
450,0.046012,0.000284
451,0.044618,0.000201
452,0.072673,0.00027
453,0.061944,0.000284
454,0.057845,0.000284
455,0.053281,0.000291
456,0.054571,0.000243
457,0.061944,0.003648
458,0.060633,0.00025
459,0.05351,0.000264
460,0.056631,0.000236
461,0.059329,0.00027
462,0.064302,0.003877
463,0.057602,0.000194
464,0.049563,0.000208
465,0.045908,0.000243
466,0.048571,0.00018
467,0.062471,0.008704
468,0.065627,0.003842
469,0.070093,0.00876
470,0.052171,0.000201
471,0.053385,0.000187
472,0.056714,0.00018
473,0.056582,0.000153
474,0.093689,0.011063
475,0.058219,0.004432
476,0.057942,0.000257
477,0.060328,0.005139
478,0.054065,0.000284
479,0.063539,0.002906
480,0.057047,0.000236
481,0.051894,0.00016
482,0.058386,0.000208
483,0.058788,0.000194
484,0.053697,0.000305
485,0.06829,0.003301
486,0.061736,0.000194
487,0.048731,0.000194
488,0.057734,0.000222
489,0.062665,0.0043
490,0.075177,0.002955
491,0.062006,0.000194
492,0.054113,0.000187
493,0.061354,0.000236
494,0.065301,0.001561
495,0.057082,0.000222
496,0.075129,0.002989
497,0.057657,0.000208
498,0.05987,0.000173
499,0.059024,0.00018
500,0.057248,0.000201
501,0.066105,0.002969
502,0.052428,0.000201
503,0.051686,0.000208
504,0.053704,0.000215
505,0.065862,0.004453
506,0.05025,0.000194
