,Data written,
0,1096,1.096
1,1096,1.096
2,1096,1.096
3,1097,1.097
4,1097,1.097
5,1101,1.101
6,1106,1.106
7,1117,1.117
8,1308,1.308
9,1308,1.308
10,1309,1.309
11,1310,1.31
12,1315,1.315
13,1318,1.318
14,1320,1.32
15,1321,1.321
16,1323,1.323
17,1324,1.324
18,1334,1.334
19,1525,1.525
20,1527,1.527
21,1527,1.527
22,1528,1.528
23,1530,1.53
24,1533,1.533
25,1537,1.537
26,1543,1.543
27,1551,1.551
28,1579,1.579
29,1647,1.647
30,1647,1.647
31,1647,1.647
32,1647,1.647
33,1647,1.647
34,1647,1.647
35,1647,1.647
36,1655,1.655
37,1667,1.667
38,1683,1.683
39,1709,1.709
40,1735,1.735
41,1810,1.81
42,1860,1.86
43,1863,1.863
44,1876,1.876
45,1887,1.887
46,1898,1.898
47,1913,1.913
48,1927,1.927
49,1942,1.942
50,1972,1.972
51,1998,1.998
52,2034,2.034
53,2098,2.098
54,2109,2.109
55,2120,2.12
56,2128,2.128
57,2137,2.137
58,2155,2.155
59,2173,2.173
60,2198,2.198
61,2228,2.228
62,2253,2.253
63,2282,2.282
64,2306,2.306
65,2345,2.345
66,2357,2.357
67,2379,2.379
68,2421,2.421
69,2441,2.441
70,2460,2.46
71,2481,2.481
72,2501,2.501
73,2532,2.532
74,2560,2.56
75,2562,2.562
76,2562,2.562
77,2562,2.562
78,2562,2.562
79,2562,2.562
80,2562,2.562
81,2566,2.566
82,2606,2.606
83,2674,2.674
84,2717,2.717
85,2746,2.746
86,2773,2.773
87,2773,2.773
88,2781,2.781
89,2827,2.827
90,2864,2.864
91,2920,2.92
92,2941,2.941
93,2956,2.956
94,2997,2.997
95,3033,3.033
96,3064,3.064
97,3090,3.09
98,3112,3.112
99,3135,3.135
100,3151,3.151
101,3151,3.151
102,3151,3.151
103,3151,3.151
104,3151,3.151
105,3151,3.151
106,3151,3.151
107,3151,3.151
108,3151,3.151
109,3151,3.151
110,3151,3.151
111,3151,3.151
112,3205,3.205
113,3289,3.289
114,3321,3.321
115,3347,3.347
116,3358,3.358
117,3361,3.361
118,3420,3.42
119,3464,3.464
120,3504,3.504
121,3523,3.523
122,3536,3.536
123,3555,3.555
124,3590,3.59
125,3634,3.634
126,3665,3.665
127,3697,3.697
128,3720,3.72
129,3730,3.73
130,3749,3.749
131,3782,3.782
132,3823,3.823
133,3854,3.854
134,3886,3.886
135,3915,3.915
136,3931,3.931
137,3952,3.952
138,3965,3.965
139,3981,3.981
140,4014,4.014
141,4083,4.083
142,4105,4.105
143,4128,4.128
144,4152,4.152
145,4169,4.169
146,4187,4.187
147,4213,4.213
148,4242,4.242
149,4272,4.272
150,4304,4.304
151,4342,4.342
152,4371,4.371
153,4398,4.398
154,4429,4.429
155,4452,4.452
156,4479,4.479
157,4515,4.515
158,4551,4.551
159,4582,4.582
160,4599,4.599
161,4599,4.599
162,4599,4.599
163,4599,4.599
164,4599,4.599
165,4599,4.599
166,4722,4.722
167,4796,4.796
168,4807,4.807
169,4809,4.809
170,4810,4.81
171,4810,4.81
172,4854,4.854
173,4936,4.936
174,4983,4.983
175,5006,5.006
176,5014,5.014
177,5018,5.018
178,5037,5.037
179,5142,5.142
180,5180,5.18
181,5199,5.199
182,5216,5.216
183,5225,5.225
