,0,400,800,1200,1600
0,0,0,0,0,0
2,0,0,0,0,0
4,0,0,0,0,0
6,0,0,0,0,0
8,0,0,0,0,0
10,0,0,0,0,0
12,0,0,0,0,0
14,0,0,0,0,0
16,0,0,0,0,0
18,0,0,0,0,0
20,0,0,0,0,0
22,0,0,0,0,0
24,0,0,0,0,0
26,0,0,0,0,0
28,0,0,0,0,0
30,0,0,0,0,0
32,0,0,0,0,0
34,0,0,0,0,0
36,0,0,0,0,0
38,0,0,0,0,0
40,0,0,0,0,0
42,0,0,0,0,0
44,0,0,0,0,0
46,0,0,0,0,0
48,0,0,0,0,0
50,0,0,0,0,0
52,0,0,0,0,0
54,0,0,0,0,0
56,0,0,0,0,0
58,0.000055,0.000042,0,0,0
60,0.00025,0.000291,0.000055,0.000042,0.000194
62,0.000014,0.000069,0.000153,0.000042,0.000042
64,0.000014,0.000042,0.000055,0,0
66,0,0.000014,0,0,0
68,0,0,0,0,0
70,0,0,0,0,0
72,0.000083,0,0.000014,0.000014,0
74,0.000014,0,0,0.000014,0.000014
76,0.000014,0,0,0,0
78,0.000097,0,0,0,0
80,0.000042,0.000042,0,0,0
82,0.005382,0.002691,0.000194,0.000291,0.00154
84,0.021515,0.014857,0.008753,0.004689,0.015883
86,0.006714,0.017437,0.026744,0.013372,0.008933
88,0.000277,0.00394,0.009877,0.009225,0.00061
90,0.000055,0.000236,0.001803,0.002219,0.00018
92,0.000055,0.000069,0.000277,0.000541,0.000222
94,0.000361,0.000139,0.000125,0.000583,0.000652
96,0.000888,0.000375,0.000264,0.001873,0.000375
98,0.001027,0.000222,0.00018,0.002317,0.001429
100,0.0024,0,0.000069,0.000596,0.003579
102,0.000638,0.000014,0.000014,0.000208,0.000791
104,0.000083,0.000042,0.000028,0.000194,0.00043
106,0.000042,0.000028,0,0.00025,0.000291
108,0.000055,0.000042,0,0.000028,0.000375
110,0.000014,0.000042,0.000014,0.000028,0.00025
112,0.000083,0,0.000014,0.000014,0.000513
114,0.000028,0,0.000014,0.000028,0.000319
116,0.000014,0,0.000139,0,0.000277
118,0,0,0.000291,0,0.000125
120,0,0,0.000125,0,0.000083
122,0.000028,0,0.000194,0,0.000444
124,0,0,0.000042,0,0.002705
126,0,0,0.000014,0,0.000638
128,0,0,0.000014,0,0.000125
130,0,0,0,0,0.000208
132,0.001332,0,0,0,0.000069
134,0.091109,0.010293,0.000069,0.000638,0.020364
136,0.339272,0.178486,0.072882,0.048495,0.244848
138,0.178112,0.36198,0.356459,0.263256,0.254003
140,0.027285,0.15815,0.24292,0.316426,0.062422
142,0.008267,0.024886,0.056666,0.083688,0.01358
144,0.008517,0.006104,0.010848,0.013247,0.007699
146,0.013761,0.009197,0.008573,0.007962,0.021917
148,0.013428,0.010099,0.006936,0.011819,0.020558
150,0.023041,0.004508,0.004134,0.011597,0.014995
152,0.035414,0.002497,0.001748,0.003676,0.021834
154,0.013608,0.001179,0.000916,0.001623,0.007616
156,0.003731,0.00147,0.001942,0.002386,0.003912
158,0.003607,0.000985,0.000721,0.001817,0.002733
160,0.002511,0.001484,0.000291,0.003052,0.002511
162,0.001637,0.000527,0.000264,0.001706,0.00197
164,0.003066,0.000402,0.000333,0.000486,0.003135
166,0.002136,0.000305,0.000402,0.000513,0.002594
168,0.35245,0.028035,0.001207,0.004161,0.070121
170,1.479187,0.646737,0.279721,0.139438,0.896426
172,1.113878,1.521606,1.328361,0.957725,1.382668
174,0.219602,1.154008,1.357519,1.544051,0.482247
176,0.053974,0.287351,0.626665,0.818357,0.138924
178,0.041379,0.048648,0.093439,0.141518,0.059898
180,0.064309,0.043973,0.040061,0.042738,0.087405
182,0.074921,0.049924,0.040214,0.053836,0.117562
184,0.107144,0.031031,0.025565,0.060758,0.078846
186,0.168568,0.014426,0.014288,0.030975,0.110279
188,0.080275,0.007935,0.006478,0.01143,0.053933
190,0.025371,0.007241,0.009544,0.010848,0.027494
192,0.018616,0.006173,0.006048,0.012582,0.020405
194,0.0134,0.007754,0.003399,0.013178,0.016812
196,0.010182,0.005424,0.002788,0.013594,0.013844
198,0.01666,0.00362,0.00301,0.006104,0.018366
200,0.010695,0.0024,0.004064,0.003177,0.019989
202,0.097407,0.006617,0.005341,0.00258,0.02705
204,0.62267,0.174131,0.097226,0.048523,0.320629
206,0.6963,0.660983,0.648984,0.360496,0.771415
208,0.161063,0.687922,0.635612,0.729467,0.303192
210,0.033153,0.268763,0.402222,0.517093,0.154128
212,0.02053,0.039506,0.075323,0.138439,0.13486
214,0.032182,0.020294,0.024178,0.026911,0.082023
216,0.039451,0.027299,0.023401,0.026994,0.078597
218,0.047496,0.018269,0.016258,0.031919,0.050243
220,0.08839,0.009696,0.008725,0.020239,0.058413
222,0.054959,0.006006,0.004772,0.007366,0.039895
224,0.016313,0.004827,0.004994,0.006117,0.019642
226,0.011458,0.005022,0.005507,0.007754,0.023512
228,0.009682,0.005993,0.003288,0.008947,0.016188
230,0.007296,0.004952,0.003412,0.009308,0.00989
232,0.008614,0.002261,0.002206,0.003662,0.008628
234,0.006922,0.002206,0.002913,0.002594,0.010223
236,0.00387,0.002067,0.003926,0.002816,0.007269
238,0.003718,0.001928,0.00627,0.002677,0.007907
240,0.061826,0.001831,0.005909,0.002552,0.006048
242,1.758742,0.168207,0.004786,0.009072,0.115079
244,7.127991,2.164945,0.477198,0.402874,3.006911
246,7.248813,6.396595,4.089688,3.061093,7.696048
248,2.507865,7.995384,7.673104,7.057745,4.757524
250,0.476976,4.25268,6.580048,7.072352,1.420912
252,0.24679,0.709853,2.768319,3.05843,0.366835
254,0.327204,0.244154,0.377544,0.639205,0.348802
256,0.39333,0.302721,0.226218,0.31644,0.615983
258,0.587436,0.239119,0.178139,0.405038,0.50293
260,0.867129,0.122029,0.102969,0.315607,0.667059
262,0.598325,0.062076,0.047524,0.129256,0.560469
264,0.18366,0.039812,0.033694,0.063671,0.202526
266,0.093814,0.036635,0.038424,0.069608,0.13891
268,0.076017,0.040477,0.019379,0.077071,0.125053
270,0.069247,0.035761,0.008489,0.091636,0.132821
272,3.010684,0.171328,0.007186,0.071161,0.371441
274,15.354545,3.30436,0.10917,0.712904,5.018546
276,23.489283,13.447529,1.858729,5.778087,15.94678
278,12.320751,23.233046,7.066997,16.946716,16.405445
280,2.394187,17.599099,14.865348,21.583141,5.770416
282,0.828261,5.651106,9.924691,12.495811,1.666551
284,0.971472,0.941883,2.391746,3.125513,0.832936
286,1.273984,0.703361,0.282024,0.80307,1.846549
288,1.703699,0.669029,0.2273,0.899298,1.753471
290,2.452642,0.395536,0.147705,0.860304,1.453899
292,2.28148,0.396409,1.748657,0.426067,2.701222
294,0.962594,0.75832,12.145122,0.35614,4.717796
296,0.361453,0.450606,8.855216,1.110119,2.383603
298,0.270455,0.184257,3.119354,1.111617,0.968989
300,0.199973,0.174949,1.73129,0.78519,0.681055
302,0.224276,0.133667,1.127,0.699463,0.591278
304,0.226801,0.105091,0.891197,0.347665,0.725861
306,0.138661,0.110335,0.757751,0.195618,0.770652
308,0.097171,0.086531,0.587033,0.146318,0.520519
310,0.076696,0.049203,0.341603,0.10541,0.298712
312,0.043751,0.027618,0.201555,0.051283,0.174255
314,0.032959,0.02397,0.156666,0.039021,0.395022
316,0.034735,0.026384,0.106756,0.032196,1.358032
318,0.04235,0.03092,0.0713,0.031669,1.676872
320,0.053683,0.027272,0.059773,0.02895,0.733892
322,0.045471,0.021321,0.05059,0.02404,0.296076
324,0.02723,0.016979,0.040436,0.019892,0.164545
326,0.021515,0.014912,0.033639,0.016715,0.126592
328,0.019254,0.01494,0.027299,0.014995,0.109156
330,0.017076,0.015536,0.027993,0.016119,0.152019
332,0.018311,0.01537,0.022611,0.016937,0.217008
334,0.014343,0.013913,0.019462,0.015828,0.150049
336,0.011902,0.013428,0.019212,0.015897,0.058497
338,0.011208,0.015106,0.020461,0.016923,0.045013
340,0.013733,0.017589,0.028284,0.019712,0.044084
342,0.016022,0.020807,0.027188,0.019198,0.037398
344,0.018449,0.022098,0.020197,0.019379,0.031835
346,0.022514,0.018657,0.016771,0.016396,0.033764
348,0.022611,0.015287,0.01512,0.015398,0.028104
350,0.01985,0.014954,0.016369,0.01702,0.024858
352,0.015966,0.018852,0.019767,0.020475,0.02207
354,0.016216,0.020017,0.020364,0.021251,0.022139
356,0.018227,0.01709,0.018477,0.017659,0.019309
358,0.021196,0.019712,0.018172,0.018963,0.019989
360,0.029893,0.029644,0.025316,0.027161,0.027965
362,0.036136,0.03246,0.028811,0.031905,0.036801
364,0.025968,0.023124,0.025565,0.02225,0.030934
366,0.01598,0.015398,0.018269,0.016965,0.018532
368,0.012568,0.014218,0.017437,0.01795,0.01752
370,0.012415,0.015883,0.017839,0.018935,0.017672
372,0.014052,0.01838,0.020266,0.020377,0.020308
374,0.019087,0.021251,0.021487,0.02243,0.019143
376,0.023166,0.021612,0.020655,0.021917,0.021848
378,0.023304,0.016882,0.019559,0.019642,0.021987
380,0.016424,0.013899,0.019351,0.018463,0.020058
382,0.011638,0.015023,0.018879,0.018741,0.018574
384,0.010071,0.014454,0.018047,0.018144,0.017936
386,0.01616,0.016313,0.016896,0.017978,0.017478
388,0.034693,0.033611,0.026328,0.032071,0.025454
390,0.075989,0.07868,0.06055,0.073825,0.056638
392,0.11046,0.111153,0.084839,0.098988,0.083368
394,0.090401,0.094396,0.081329,0.080511,0.081371
